ip,country,city,subdivision,latitude,longitude,accuracy_radius,postal_code,hostname,dns_hints,confidence,error
61.220.0.246,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-220-0-246.hinet-ip.hinet.net,,high,
168.95.1.1,Taiwan,,,24.0,121.0,200,,dns.hinet.net,,low,
220.128.25.245,Taiwan,,,24.0,121.0,200,,220-128-25-245.skc1-3315.hinet.net,,low,
203.74.41.245,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,100,,203-74-41-245.hinet-ip.hinet.net,,medium,
61.220.2.246,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-220-2-246.hinet-ip.hinet.net,,high,
168.95.192.1,Taiwan,,,24.0,121.0,200,,hntp1.hinet.net,,low,
220.128.25.253,Taiwan,,,24.0,121.0,200,,220-128-25-253.skc1-3316.hinet.net,,low,
220.128.4.73,Taiwan,,,24.0,121.0,200,,220-128-4-73.pcpc-3331.hinet.net,,low,
220.128.5.61,Taiwan,,,24.0,121.0,200,,220-128-5-61.pcpc-3331.hinet.net,,low,
220.128.4.193,Taiwan,,,24.0,121.0,200,,220-128-4-193.pcpc-3331.hinet.net,,low,
220.128.9.45,Taiwan,,,24.0,121.0,200,,220-128-9-45.clpy-3331.hinet.net,,low,
220.128.13.133,Taiwan,,,24.0,121.0,200,,220-128-13-133.tpn2-3301.hinet.net,,low,
220.128.13.13,Taiwan,,,24.0,121.0,200,,220-128-13-13.tpn2-3301.hinet.net,,low,
220.128.25.21,Taiwan,,,24.0,121.0,200,,220-128-25-21.skc1-3331.hinet.net,,low,
203.66.35.4,Taiwan,,,24.0,121.0,200,,203-66-35-4.hinet-ip.hinet.net,,low,
139.175.57.104,Taiwan,,,24.0,121.0,200,,r57-104.seed.net.tw,,low,
223.200.22.41,Taiwan,Taipei,Taipei City,25.053,121.5259,20,,223-200-22-41.hinet-ip.hinet.net,,high,
223.200.22.50,Taiwan,Taipei,Taipei City,25.053,121.5259,20,,223-200-22-50.hinet-ip.hinet.net,,high,
220.128.25.221,Taiwan,,,24.0,121.0,200,,220-128-25-221.skc1-3331.hinet.net,,low,
163.29.22.61,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-61.hinet-ip.hinet.net,,medium,
210.69.8.97,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-8-97.hinet-ip.hinet.net,,high,
220.128.2.221,Taiwan,,,24.0,121.0,200,,220-128-2-221.tpdb-3336.hinet.net,,low,
210.69.8.17,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-8-17.hinet-ip.hinet.net,,high,
163.29.138.237,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-138-237.hinet-ip.hinet.net,,high,
210.241.77.217,Taiwan,,,24.0,121.0,200,,210-241-77-217.hinet-ip.hinet.net,,low,
163.29.183.193,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-183-193.hinet-ip.hinet.net,,high,
220.128.4.105,Taiwan,,,24.0,121.0,200,,220-128-4-105.tpdb-3331.hinet.net,,low,
220.128.4.233,Taiwan,,,24.0,121.0,200,,220-128-4-233.tpdb-3331.hinet.net,,low,
140.111.14.50,Taiwan,,,24.0,121.0,200,,www.moe.gov.tw,,low,
140.111.34.172,Taiwan,,,24.0,121.0,200,,mail.moe.gov.tw,,low,
210.241.72.137,Taiwan,,,24.0,121.0,200,,210-241-72-137.hinet-ip.hinet.net,,low,
168.95.84.241,Taiwan,,,24.0,121.0,200,,h241.s84.ts.hinet.net,,low,
220.128.8.62,Taiwan,,,24.0,121.0,200,,220-128-8-62.tyfo-3031.hinet.net,,low,
210.69.221.194,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-221-194.hinet-ip.hinet.net,,high,
163.29.12.169,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-12-169.hinet-ip.hinet.net,,medium,
210.69.221.186,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-221-186.hinet-ip.hinet.net,,high,
210.241.72.13,Taiwan,,,24.0,121.0,200,,210-241-72-13.hinet-ip.hinet.net,,low,
210.69.115.235,Taiwan,Taichung,Taichung City,24.144,120.6844,10,,mail2000.taichung.gov.tw,Yilan,high,
220.128.8.113,Taiwan,,,24.0,121.0,200,,220-128-8-113.clpy-3331.hinet.net,,low,
220.128.24.101,Taiwan,,,24.0,121.0,200,,220-128-24-101.tncd-3331.hinet.net,,low,
140.117.11.50,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,20,,mail.nsysu.edu.tw,,high,
140.123.1.2,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,suncc.ccu.edu.tw,,medium,
220.128.26.133,Taiwan,,,24.0,121.0,200,,220-128-26-133.tne1-3331.hinet.net,,low,
168.95.208.57,Taiwan,,,24.0,121.0,200,,h57.s208.ts.hinet.net,,low,
168.95.208.45,Taiwan,,,24.0,121.0,200,,h45.s208.ts.hinet.net,,low,
220.128.25.78,Taiwan,,,24.0,121.0,200,,220-128-25-78.skc1-3052.hinet.net,,low,
203.74.167.125,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,20,,203-74-167-125.hinet-ip.hinet.net,,high,
60.199.21.1,Taiwan,,,24.0,121.0,200,,60-199-21-1.static.tfn.net.tw,,low,
61.31.254.62,Taiwan,Songshan,Taipei City,25.05,121.55,50,,61-31-254-62.static.tfn.net.tw,,medium,
139.175.57.105,Taiwan,,,24.0,121.0,200,,r57-105.seed.net.tw,,low,
61.67.3.242,Taiwan,,,24.0,121.0,200,,h242.c3.gtbc.com.tw,,low,
61.67.7.197,Taiwan,,,24.0,121.0,200,,mail.firstbank.com.tw,,low,
139.175.57.218,Taiwan,,,24.0,121.0,200,,r57-218.seed.net.tw,,low,
168.95.208.29,Taiwan,,,24.0,121.0,200,,h29.s208.ts.hinet.net,,low,
124.219.113.65,Taiwan,,,24.0,121.0,200,,124-219-113-65.vdslpro.static.apol.com.tw,,low,
175.99.124.237,Taiwan,,,24.0,121.0,200,,175-99-124-237.static.tfn.net.tw,,low,
60.199.18.42,Taiwan,,,24.0,121.0,200,,60-199-18-42.static.tfn.net.tw,,low,
220.128.2.53,Taiwan,,,24.0,121.0,200,,220-128-2-53.tpdb-3331.hinet.net,,low,
168.95.80.193,Taiwan,,,24.0,121.0,200,,h193.s80.ts.hinet.net,,low,
220.128.4.101,Taiwan,,,24.0,121.0,200,,220-128-4-101.tpdb-3331.hinet.net,,low,
210.71.174.246,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,5,,210-71-174-246.hinet-ip.hinet.net,,high,
203.69.140.21,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,5,,203-69-140-21.hinet-ip.hinet.net,,high,
139.175.56.142,Taiwan,,,24.0,121.0,200,,r56-142.seed.net.tw,,low,
192.72.123.73,Taiwan,,,24.0,121.0,200,,h73-192-72-123.seed.net.tw,,low,
139.175.57.186,Taiwan,,,24.0,121.0,200,,r57-186.seed.net.tw,,low,
60.250.134.169,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,60-250-134-169.hinet-ip.hinet.net,,high,
168.95.81.221,Taiwan,,,24.0,121.0,200,,h221.s81.ts.hinet.net,,low,
168.95.84.237,Taiwan,,,24.0,121.0,200,,h237.s84.ts.hinet.net,,low,
118.163.125.90,Taiwan,Taipei,Taipei City,25.053,121.5259,20,,118-163-125-90.hinet-ip.hinet.net,,high,
168.95.210.73,Taiwan,,,24.0,121.0,200,,h73.s210.ts.hinet.net,,low,
168.95.81.201,Taiwan,,,24.0,121.0,200,,h201.s81.ts.hinet.net,,low,
61.219.29.220,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-219-29-220.hinet-ip.hinet.net,,high,
220.128.9.205,Taiwan,,,24.0,121.0,200,,220-128-9-205.tyfo-3331.hinet.net,,low,
139.175.58.4,Taiwan,,,24.0,121.0,200,,r58-4.seed.net.tw,,low,
168.95.210.45,Taiwan,,,24.0,121.0,200,,h45.s210.ts.hinet.net,,low,
220.128.9.193,Taiwan,,,24.0,121.0,200,,220-128-9-193.snuh-3331.hinet.net,,low,
220.128.1.25,Taiwan,,,24.0,121.0,200,,220-128-1-25.snuh-3331.hinet.net,,low,
220.128.9.1,Taiwan,,,24.0,121.0,200,,220-128-9-1.snuh-3331.hinet.net,,low,
61.31.57.131,Taiwan,Songshan,Taipei City,25.05,121.55,10,,nat.thsrc.com.tw,,high,
210.242.36.217,Taiwan,Taipei,Taipei City,25.053,121.5259,10,,210-242-36-217.hinet-ip.hinet.net,,high,
163.29.186.201,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-186-201.hinet-ip.hinet.net,,high,
220.128.25.249,Taiwan,,,24.0,121.0,200,,220-128-25-249.skc1-3315.hinet.net,,low,
220.128.25.241,Taiwan,,,24.0,121.0,200,,220-128-25-241.skc1-3316.hinet.net,,low,
139.175.57.117,Taiwan,,,24.0,121.0,200,,r57-117.seed.net.tw,,low,
